Salario;Experiencia;Gerencia;Educacional
13876;1;ASIM;FUND
11608;1;NAO;FUND
18701;1;ASIM;AMEDIO
11283;1;NAO;FUND
11767;1;NAO;FUND
20872;2;ASIM;SUP
11772;2;NAO;FUND
10535;2;NAO;FUND
12195;2;NAO;FUND
12313;3;NAO;FUND
14975;3;ASIM;AMEDIO
21371;3;ASIM;SUP
19800;3;ASIM;SUP
11417;4;NAO;FUND
20263;4;ASIM;SUP
13231;4;NAO;FUND
12884;4;NAO;FUND
13245;5;NAO;FUND
13677;5;NAO;FUND
15965;5;ASIM;AMEDIO
12336;6;NAO;FUND
21352;6;ASIM;SUP
13839;6;NAO;FUND
22884;6;ASIM;SUP
16978;7;ASIM;AMEDIO
14803;8;NAO;AMEDIO
17404;8;ASIM;AMEDIO
22184;8;ASIM;SUP
13548;8;NAO;FUND
14467;10;NAO;FUND
15942;10;NAO;AMEDIO
23174;10;ASIM;SUP
23780;10;ASIM;SUP
25410;11;ASIM;SUP
14861;11;NAO;AMEDIO
16882;12;NAO;AMEDIO
24170;12;ASIM;SUP
15990;13;NAO;AMEDIO
26330;13;ASIM;SUP
17949;14;NAO;AMEDIO
25685;15;ASIM;SUP
27837;16;ASIM;SUP
18838;16;NAO;AMEDIO
17483;16;NAO;AMEDIO
19207;17;NAO;AMEDIO
19346;20;NAO;AMEDIO
