Salario;Experiencia;Gerencia;Educacional
13876;1;1;1
11608;1;0;1
18701;1;1;2
11283;1;0;1
11767;1;0;1
20872;2;1;3
11772;2;0;1
10535;2;0;1
12195;2;0;1
12313;3;0;1
14975;3;1;2
21371;3;1;3
19800;3;1;3
11417;4;0;1
20263;4;1;3
13231;4;0;1
12884;4;0;1
13245;5;0;1
13677;5;0;1
15965;5;1;2
12336;6;0;1
21352;6;1;3
13839;6;0;1
22884;6;1;3
16978;7;1;2
14803;8;0;2
17404;8;1;2
22184;8;1;3
13548;8;0;1
14467;10;0;1
15942;10;0;2
23174;10;1;3
23780;10;1;3
25410;11;1;3
14861;11;0;2
16882;12;0;2
24170;12;1;3
15990;13;0;2
26330;13;1;3
17949;14;0;2
25685;15;1;3
27837;16;1;3
18838;16;0;2
17483;16;0;2
19207;17;0;2
19346;20;0;2
