"drivewheel";"carwidth";"price"
"rwd";64.1;13.495
"rwd";64.1;16.5
"rwd";65.5;16.5
"fwd";66.2;13.95
"4wd";66.4;17.45
"fwd";66.3;15.25
"fwd";71.4;17.71
"fwd";71.4;18.92
"fwd";71.4;23.875
"4wd";67.9;17.859
"rwd";64.8;16.43
"rwd";64.8;16.925
"rwd";64.8;20.97
"rwd";64.8;21.105
"rwd";66.9;24.565
"rwd";66.9;30.76
"rwd";67.9;41.315
"rwd";70.9;36.88
"fwd";60.3;5.151
"fwd";63.6;6.295
"fwd";63.6;6.575
"fwd";63.8;5.572
"fwd";63.8;6.377
"fwd";63.8;7.957
"fwd";63.8;6.229
"fwd";63.8;6.692
"fwd";63.8;7.609
"fwd";63.8;8.558
"fwd";64.6;8.921
"fwd";66.3;12.964
"fwd";63.9;6.479
"fwd";63.9;6.855
"fwd";64;5.399
"fwd";64;6.529
"fwd";64;7.129
"fwd";64;7.295
"fwd";63.9;7.295
"fwd";65.2;7.895
"fwd";65.2;9.095
"fwd";65.2;8.845
"fwd";62.5;10.295
"fwd";65.2;12.945
"fwd";66;10.345
"rwd";61.8;6.785
"fwd";63.6;8.9165
"fwd";63.6;8.9165
"rwd";65.2;11.048
"rwd";69.6;32.25
"rwd";69.6;35.55
"rwd";70.6;36
"fwd";64.2;5.195
"fwd";64.2;6.095
"fwd";64.2;6.795
"fwd";64.2;6.695
"fwd";64.2;7.395
"rwd";65.7;10.945
"rwd";65.7;11.845
"rwd";65.7;13.645
"rwd";65.7;15.645
"fwd";66.5;8.845
"fwd";66.5;8.495
"fwd";66.5;10.595
"fwd";66.5;10.245
"fwd";66.5;10.795
"fwd";66.5;11.245
"rwd";66.1;18.28
"rwd";66.1;18.344
"rwd";70.3;25.552
"rwd";70.3;28.248
"rwd";70.3;28.176
"rwd";71.7;31.6
"rwd";71.7;34.184
"rwd";70.5;35.056
"rwd";71.7;40.96
"rwd";72;45.4
"rwd";68;16.503
"fwd";64.4;5.389
"fwd";64.4;6.189
"fwd";64.4;6.669
"fwd";63.8;7.689
"fwd";65.4;9.959
"fwd";65.4;8.499
"fwd";66.3;12.629
"fwd";66.3;14.869
"fwd";66.3;14.489
"fwd";65.4;6.989
"fwd";65.4;8.189
"fwd";65.4;9.279
"fwd";65.4;9.279
"fwd";63.8;5.499
"fwd";63.8;7.099
"fwd";63.8;6.649
"fwd";63.8;6.849
"fwd";63.8;7.349
"fwd";63.8;7.299
"fwd";63.8;7.799
"fwd";63.8;7.499
"fwd";63.8;7.999
"fwd";63.8;8.249
"fwd";65.2;8.949
"fwd";65.2;9.549
"fwd";66.5;13.499
"fwd";66.5;14.399
"fwd";66.5;13.499
"rwd";67.9;17.199
"rwd";67.9;19.699
"rwd";67.9;18.399
"rwd";68.4;11.9
"rwd";68.4;13.2
"rwd";68.4;12.44
"rwd";68.4;13.86
"rwd";68.4;15.58
"rwd";68.4;16.9
"rwd";68.4;16.695
"rwd";68.4;17.075
"rwd";68.4;16.63
"rwd";68.4;17.95
"rwd";68.3;18.15
"fwd";63.8;5.572
"fwd";63.8;7.957
"fwd";63.8;6.229
"fwd";63.8;6.692
"fwd";63.8;7.609
"fwd";64.6;8.921
"rwd";66.3;12.764
"rwd";68.3;22.018
"rwd";65;32.528
"rwd";65;34.028
"rwd";65;37.028
"rwd";72.3;31.4005
"fwd";66.5;9.295
"fwd";66.6;9.895
"fwd";66.5;11.85
"fwd";66.5;12.17
"fwd";66.5;15.04
"fwd";66.5;15.51
"fwd";66.5;18.15
"fwd";66.5;18.62
"fwd";63.4;5.118
"fwd";63.6;7.053
"4wd";63.8;7.603
"fwd";65.4;7.126
"fwd";65.4;7.775
"fwd";65.4;9.96
"4wd";65.4;9.233
"4wd";65.4;11.259
"fwd";65.4;7.463
"fwd";65.4;10.198
"4wd";65.4;8.013
"4wd";65.4;11.694
"fwd";63.6;5.348
"fwd";63.6;6.338
"fwd";63.6;6.488
"fwd";63.6;6.918
"4wd";63.6;7.898
"4wd";63.6;8.778
"fwd";64.4;6.938
"fwd";64.4;7.198
"fwd";64.4;7.898
"fwd";64.4;7.788
"fwd";64.4;7.738
"fwd";64.4;8.358
"fwd";64.4;9.258
"rwd";64;8.058
"rwd";64;8.238
"rwd";64;9.298
"rwd";64;9.538
"rwd";65.6;8.449
"rwd";65.6;9.639
"rwd";65.6;9.989
"rwd";65.6;11.199
"rwd";65.6;11.549
"rwd";65.6;17.669
"fwd";66.5;8.948
"fwd";66.5;10.698
"fwd";66.5;9.988
"fwd";66.5;10.898
"fwd";66.5;11.248
"rwd";67.7;16.558
"rwd";67.7;15.998
"rwd";66.5;15.69
"rwd";66.5;15.75
"fwd";65.5;7.775
"fwd";65.5;7.975
"fwd";65.5;7.995
"fwd";65.5;8.195
"fwd";65.5;8.495
"fwd";65.5;9.495
"fwd";65.5;9.995
"fwd";64.2;11.595
"fwd";64;9.98
"fwd";66.9;13.295
"fwd";66.9;13.845
"fwd";66.9;12.29
"rwd";67.2;12.94
"rwd";67.2;13.415
"rwd";67.2;15.985
"rwd";67.2;16.515
"rwd";67.2;18.42
"rwd";67.2;18.95
"rwd";68.9;16.845
"rwd";68.8;19.045
"rwd";68.9;21.485
"rwd";68.9;22.47
"rwd";68.9;22.625
