Tempo;Lucro
0,3;1827
1,2;2360
2,1;3377
3,2;3025
3,6;3842
4;4348
3,5;4937
4;5370
0,6;2212
0,7;1849
0,7;1694
0,7;1664
0,8;2550
0,8;1787
0,8;2407
0,8;2365
0,9;2517
0,9;2372
0,9;2154
0,9;2095
0,9;1745
0,9;1991
1;2796
1;2299
1;2247
1,1;2512
1,1;2772
1,1;2621
1,1;2519
1,1;2237
1,1;2238
1,1;2698
1,1;2586
1,1;2279
1,1;2237
1,2;2634
1,2;2595
1,2;2920
1,2;2497
1,2;2072
1,2;2432
1,2;2330
1,2;2989
1,2;2234
1,3;2710
1,3;3026
1,3;2286
1,3;2697
1,4;3121
1,4;2533
1,4;3023
1,4;2125
1,4;2784
1,4;2217
1,4;2686
1,4;2489
1,4;2114
1,5;2872
1,5;1978
1,5;2456
1,5;2618
1,5;1990
1,5;2843
1,5;2232
1,5;2373
1,5;2375
1,5;2043
1,6;2981
1,6;2371
1,6;3574
1,6;2433
1,6;2300
1,6;2517
1,6;3326
1,6;2213
1,6;2687
1,6;3296
1,7;2637
1,7;3214
1,7;2363
1,7;2940
1,7;2637
1,7;2225
1,7;2775
1,8;2471
1,8;3173
1,8;3145
1,8;2134
1,8;2668
1,8;2668
1,9;2066
1,9;3472
1,9;3644
1,9;2066
1,9;2582
1,9;2553
2;2315
2;3457
2;2285
2;3487
2;2725
2;2608
2;3780
2,1;2662
2,1;2512
2,2;3143
2,2;2167
2,2;3693
2,2;2625
2,2;2167
2,2;2960
2,2;3143
2,3;2895
2,3;3455
2,4;2380
2,4;2285
2,4;2729
2,4;3650
2,5;3105
2,5;3558
2,5;2620
2,5;2717
2,5;2394
2,5;2620
2,6;3427
2,6;3790
2,6;2999
2,6;3889
2,6;3592
2,6;4218
2,6;3889
2,6;2702
2,6;3493
2,6;2537
2,6;3922
2,6;2768
2,7;3591
2,7;2987
2,7;3658
2,7;2383
2,8;4408
2,8;4442
2,8;3759
2,8;4032
2,8;3486
2,8;4408
2,8;2870
2,8;3622
2,8;3110
2,8;2700
2,8;3759
2,8;3827
2,8;3793
2,9;2469
2,9;3722
2,9;2956
2,9;4139
2,9;3443
2,9;3617
2,9;3026
3;2937
3;2583
3;3964
3;4388
3;2973
3;3008
3;3114
3;3114
3;4176
3,1;4428
3,1;4068
3,1;4176
3,1;4284
3,1;3564
3,2;3807
3,2;3148
3,2;4503
3,2;5052
3,3;2456
3,3;5173
3,3;2791
3,3;5024
3,3;3536
3,3;3015
3,3;4652
3,3;5322
3,3;2270
3,4;2534
3,4;3404
3,4;4388
