x1;x2;x3;x4;x5;x6;x7;x8;x9;y
5;5;120;37,1;16,27;69;10,1;9,4;19,5;18,16
85;5;240;36,5;18,1;72;9,1;8,2;17,3;15,66
60;4;120;34,8;16,78;64;10,4;5,4;15,8;13,33
680;3,86;300;44,5;19,78;75,5;18,9;10,3;29,2;24,19
445;3,71;240;34;16,86;66;8,5;6,5;15;12,85
584;3,5;120;43,2;19,2;68;11,8;8,5;20,3;18,86
860;3,43;300;50;20,03;78;11,8;8,3;20,1;19,29
720;3,29;180;37,5;16,67;68;9;7,4;16,4;13,51
305;3,21;120;41,5;20,01;67;9,2;6,3;15,5;13,04
0;3,21;360;26,6;15,5;59;6,8;4,5;11,3;11,72
0;3,21;120;25;16;63,5;11,9;6,5;18,4;19,08
396;3,14;300;59,6;23,58;89,5;16,2;23,8;40;32,1
0;3,14;420;27;15,73;58;10,5;8;18,5;16,77
305;3,14;120;43,1;18,65;71;17,2;5,9;23,1;19,78
0;3,07;240;45,5;18,94;72;11,8;9,5;21,3;17,91
0;3;240;49,9;19,99;75,5;11,9;7,4;19,3;15,89
0;3;300;26;15,62;56;13;10,5;23,5;23,1
565;3;240;39,2;20,58;70;18,5;12,8;31,3;25,1
510;2,93;120;66;21,8;85;12,6;11;23,6;19,48
860;2,93;90;48,1;18,56;72;10,5;6,5;17;13,38
385;2,93;420;42,3;20,69;71;17,2;9,2;26,4;22,88
600;2,93;420;53,2;21,31;80;15;12,7;27,7;24,59
570;2,93;360;26,5;14,33;63;8;6,3;14,3;13,15
480;2,88;100;26,4;17,74;56,6;9,4;5;14,4;13,25
480;2,86;120;26,3;15,56;58,5;8,5;6,3;14,8;13,25
420;2,86;300;55,4;24,3;88;19,5;26,5;46;32,01
360;2,86;120;44,8;17,72;69;13,5;8,2;21,7;20,04
630;2,86;120;31;18,63;66;11,8;9,2;21;18,96
300;2,86;120;47,5;22,59;83;25,5;42,2;67,7;34
43;2,86;120;21;13,44;53,5;5,9;4;9,9;8,09
540;2,86;120;44,2;20,18;73;24,5;9,5;34;27,03
790;2,86;240;43;20,45;76;18;16,8;34,8;27,45
520;2,86;240;46,2;18,05;77;13,5;8,9;22,4;20,82
0;2,86;240;25;14,79;59;6;4,5;10,5;10,85
260;2,81;180;26,6;16,24;61;13,9;6,9;20,8;21,19
445;2,79;300;47,8;18,21;73;15,2;7,6;22,8;19,84
705;2,79;180;51,3;19,07;75;18,3;9,1;27,4;21,88
450;2,79;120;50;19,53;83;31,5;19;50,5;33,17
185;2,79;240;43,5;17,43;72;11,5;5,5;17;16,78
480;2,71;120;28,6;15,46;60,5;10,2;4,6;14,8;13,65
190;2,71;180;23,1;13,67;57,6;9,3;4,5;13,8;14,64
0;2,71;120;27,8;16,97;60;9,3;6,5;15,8;16,33
0;2,71;240;25;14,79;55;7,5;8;15,5;13,94
0;2,71;180;51,8;23,02;82,5;24,4;20,9;45,3;32,13
410;2,71;60;26,3;15,56;61,5;7;4,5;11,5;9,54
270;2,64;300;25,7;14,98;58;6,9;4,8;11,7;10,45
420;2,64;120;32,6;17,89;65,2;8,8;5,9;14,7;12,55
465;2,64;360;40;16,02;73;9;7,5;16,5;16,31
0;2,64;420;28,2;15,94;58;12,5;10,6;23,1;20,68
60;2,64;420;42;17,48;65;9,5;6,8;16,3;13,12
0;2,64;420;44,8;19,39;73;12;11,5;23,5;22,1
450;2,64;240;56,6;25,16;82;23,6;13,5;37,1;28,57
250;2,64;120;21,2;13,79;56;9,3;4,5;13,8;14,64
300;2,64;180;34,5;18,12;69;19;13;32;27,21
0;2,63;120;58,7;22,93;81;17,3;11,2;28,5;23,33
320;2,57;360;38;18,07;66,5;9,4;4,9;14,3;11,45
345;2,57;120;40;17,09;71;11,4;7,3;18,7;18,35
480;2,57;180;36,2;16,53;65;9,5;4,7;14,2;11,75
300;2,57;60;64,8;25,31;89;23,8;24,8;48,6;33,67
275;2,57;180;28;15,59;58;6,3;4,5;10,8;9,08
295;2,57;60;25;14,13;56;7,8;4,5;12,3;10,69
0;2,57;300;27;15,98;58;12;9,5;21,5;19,38
0;2,57;250;38,9;21,99;77;25,1;18,3;43,4;34,29
390;2,57;120;29;14,8;62;11,5;6,8;18,3;18,29
300;2,56;180;52;19,81;71;9,8;8,5;18,3;15,29
382;2,5;120;26,1;14,54;58;5,3;4,5;9,8;6,68
500;2,5;120;35,7;16,52;62,2;10;5,5;15,5;13,04
895;2,5;180;33,3;15;67,5;7,8;5,2;13;13,12
320;2,5;240;70;25,71;80;22,4;20,4;42,8;32,4
185;2,5;240;29;15,91;63,5;9,8;5,9;15,7;14,14
320;2,5;180;32;15,87;64;11,9;5,2;17,1;13,88
160;2,5;360;27;15,26;61;7,1;4,3;11,4;9,73
0;2,5;420;47;20,34;72;12,3;14;26,3;24,5
360;2,5;120;46;17,53;68,5;7,8;5;12,8;9,61
705;2,5;180;49;20,4;75;15;10;25;22,45
350;2,5;120;43,5;19,33;69,5;14,5;9,5;24;21,89
0;2,44;300;53;23,56;77;20,8;14,8;35,6;30,15
0;2,44;180;33,8;15,43;61;6,9;5,7;12,6;11,5
270;2,43;240;38,9;18,5;62;10,3;11,8;22,1;22,27
190;2,43;120;31,6;14,62;60;9,9;5;14,9;12,05
298;2,43;360;40,1;16,91;70;13,9;10,3;24,2;22,24
850;2,43;180;44,9;21,65;76,5;22,3;8,8;31,1;25,38
221;2,43;90;40,1;19,34;67,5;11,3;6,4;17,7;15,44
780;2,43;120;59,6;22,71;87;16;17,3;33,3;28,05
140;2,43;60;27,9;17,03;61;11,3;6;17,3;15,66
130;2,43;180;29,3;17,88;64,5;18;12,8;30,8;28,5
0;2,43;120;30;16,96;66;9;6,3;15,3;13,75
0;2,43;180;36;17,6;71;16;15,4;31,4;26,16
370;2,43;120;47;18,83;76;17;13;30;26,7
0;2,43;240;27,5;15,78;57;10,4;6;16,4;14,81
355;2,43;120;44,6;17,87;76;16;12,5;28,5;25,33
340;2,43;120;27,3;16,41;59;12,4;6,5;18,9;17,53
270;2,43;240;57,6;20,9;80;10,5;7,6;18,1;14,8
750;2,43;240;38,4;19,59;76;17,5;12,5;30;26
0;2,43;480;30;17,75;61;9,8;6;15,8;13,93
630;2,43;300;59;24,56;87;27,8;23,5;51,3;34,27
395;2,43;180;35;15,98;67;7,5;5,5;13;10,12
0;2,36;240;34,7;17,7;66,5;12,3;9,8;22,1;20,27
720;2,36;60;35,8;18,27;68,5;8,1;7;15,1;13,25
376;2,36;420;28,3;14,65;60,5;9,4;4,2;13,6;13,74
570;2,36;180;45,6;18,27;78;12,6;7,5;20,1;19,59
392;2,36;94;38,9;19,29;66;10,4;5,8;16,2;14,02
599;2,36;120;37,7;16,98;69;9,4;6,2;15,6;13,14
310;2,36;240;55,3;21,6;84;22,3;23,5;45,8;33,26
295;2,36;90;40,5;18,24;66;7,5;8,7;16,2;15,12
210;2,36;60;55;21,48;81;11,8;7,9;19,7;16,54
0;2,36;60;34;16,86;62,5;8;4,3;12,3;10,39
150;2,36;180;31;17,01;65;12,8;8;20,8;18,49
105;2,36;180;42;17,94;74;16,8;14,8;31,6;26,28
355;2,36;360;69;25,34;90;21,5;17,2;38,7;30,67
570;2,36;180;56;21,34;82;18;17,3;35,3;27,3
470;2,36;120;42,6;22,05;78;18;20,5;38,5;31,49
680;2,36;300;38;18,33;64;6,8;14;20,8;20,49
350;2,33;180;54,8;19,42;76,5;6,7;6,2;12,9;10,02
95;2,31;120;22;14,08;54;10,9;4,5;15,4;16,24
630;2,29;120;29,5;16,67;58,5;9,4;5,3;14,7;13,55
360;2,29;240;45,8;20,91;73;16,3;11,4;27,7;22,79
705;2,29;240;35,9;14,94;68;14,3;8,2;22,5;21,6
655;2,29;120;44,5;22,38;82;15,5;17,3;32,8;26,37
540;2,29;240;46,6;20,17;74;16,9;9,8;26,7;22,09
105;2,29;120;38;18,33;70;13;6,1;19,1;16,71
800;2,29;180;50,6;18,14;73;8,9;5,3;14,2;11,75
320;2,29;60;51,5;18,92;68;9,5;10,3;19,8;15,93
525;2,29;360;49,2;20,48;75;16;9;25;22,85
175;2,29;180;42;24,85;81;31,5;23,5;55;34,25
285;2,29;120;26,9;14,54;60;7,9;4,1;12;10,37
355;2,29;420;35,6;16,47;64;10,5;7;17,5;15,55
215;2,29;420;25,8;14,37;58;9;4,5;13,5;14,04
0;2,29;360;50;23,46;88;23,6;21,5;45,1;31,48
540;2,29;300;45,3;17,7;68;8,5;6,5;15;12,15
0;2,29;180;44;23,1;80;25;19;44;31,77
1130;2,29;300;58,7;23,22;77;21,7;9,5;31,2;24,74
345;2,29;300;24,7;14,18;54,5;10,8;4,5;15,3;14,15
465;2,29;120;43,4;18,54;77;18,9;11,6;30,5;27,01
410;2,29;420;47;16,26;70;6,5;5;11,5;8,24
185;2,29;180;26,5;15,68;62;10,5;8,5;19;19,32
550;2,29;60;28;17,64;60;8,5;6,5;15;15,55
